change	path	owner	window	rule
add	docs/artifacts/architecture-rebaseline-approval-001.md	foundation-integrator	architecture	FRB-SCOPE-004
add	docs/artifacts/architecture-rebaseline-approval-002.md	foundation-integrator	architecture	FRB-SCOPE-004
add	docs/artifacts/architecture-rebaseline-candidate-001.sha256	architecture-owner	architecture	FRB-SCOPE-004
add	docs/artifacts/architecture-rebaseline-candidate-002.sha256	architecture-owner	architecture	FRB-SCOPE-004
modify	docs/artifacts/architecture.md	architecture-owner	architecture	FRB-SCOPE-003
add	docs/artifacts/concern-capability-ledger.md	traceability-owner	requirements,backlog,architecture,technology,harness,orchestration,audit	FRB-SCOPE-005
add	docs/artifacts/delivery-forecast.md	backlog-owner	backlog	FRB-SCOPE-005
add	docs/artifacts/feature-backlog-rebaseline-approval-001.md	foundation-integrator	backlog	FRB-SCOPE-004
add	docs/artifacts/feature-backlog-rebaseline-approval-002.md	foundation-integrator	backlog	FRB-SCOPE-004
add	docs/artifacts/feature-backlog-rebaseline-candidate-001.sha256	backlog-owner	backlog	FRB-SCOPE-004
add	docs/artifacts/feature-backlog-rebaseline-candidate-002.sha256	backlog-owner	backlog	FRB-SCOPE-004
modify	docs/artifacts/feature-backlog.md	backlog-owner	backlog	FRB-SCOPE-003
add	docs/artifacts/foundation-rebaseline-admission-audit.md	independent-auditor	admission	FRB-SCOPE-007
add	docs/artifacts/foundation-rebaseline-admission-evidence.md	foundation-integrator	admission	FRB-SCOPE-002
add	docs/artifacts/foundation-rebaseline-approval.md	foundation-integrator	admission	FRB-SCOPE-002
add	docs/artifacts/foundation-rebaseline-audit-001.md	independent-auditor	audit	FRB-SCOPE-007
add	docs/artifacts/foundation-rebaseline-audit-002.md	independent-auditor	audit	FRB-SCOPE-007
add	docs/artifacts/foundation-rebaseline-audit-candidate-001.sha256	foundation-integrator	audit	FRB-SCOPE-006
add	docs/artifacts/foundation-rebaseline-audit-candidate-002.sha256	foundation-integrator	audit	FRB-SCOPE-006
add	docs/artifacts/foundation-rebaseline-audit-remediation-001.md	foundation-integrator	audit	FRB-SCOPE-006
add	docs/artifacts/foundation-rebaseline-audit-remediation-002.md	foundation-integrator	audit	FRB-SCOPE-006
add	docs/artifacts/foundation-rebaseline-candidate.sha256	foundation-integrator	admission	FRB-SCOPE-002
add	docs/artifacts/foundation-rebaseline-change-contract.md	foundation-integrator	admission	FRB-SCOPE-002
add	docs/artifacts/foundation-rebaseline-design.md	foundation-integrator	admission	FRB-SCOPE-002
add	docs/artifacts/foundation-rebaseline-final-approval.md	foundation-integrator	audit	FRB-SCOPE-006
add	docs/artifacts/foundation-rebaseline-handoff.md	foundation-integrator	audit	FRB-SCOPE-006
add	docs/artifacts/foundation-rebaseline-history.md	foundation-integrator	admission,requirements,backlog,architecture,technology,harness,orchestration,audit	FRB-SCOPE-005
add	docs/artifacts/foundation-rebaseline-specification.md	foundation-integrator	admission	FRB-SCOPE-002
add	docs/artifacts/foundation-verification-ledger.md	harness-integrator	harness,audit	FRB-SCOPE-005
add	docs/artifacts/harness-rebaseline-approval-001.md	foundation-integrator	harness	FRB-SCOPE-004
add	docs/artifacts/harness-rebaseline-approval-002.md	foundation-integrator	harness	FRB-SCOPE-004
add	docs/artifacts/harness-rebaseline-candidate-001.sha256	harness-integrator	harness	FRB-SCOPE-004
add	docs/artifacts/harness-rebaseline-candidate-002.sha256	harness-integrator	harness	FRB-SCOPE-004
modify	docs/artifacts/harness.md	harness-integrator	harness	FRB-SCOPE-003
add	docs/artifacts/orchestration-plan-rebaseline-approval-001.md	foundation-integrator	orchestration	FRB-SCOPE-004
add	docs/artifacts/orchestration-plan-rebaseline-approval-002.md	foundation-integrator	orchestration	FRB-SCOPE-004
add	docs/artifacts/orchestration-plan-rebaseline-candidate-001.sha256	orchestration-owner	orchestration	FRB-SCOPE-004
add	docs/artifacts/orchestration-plan-rebaseline-candidate-002.sha256	orchestration-owner	orchestration	FRB-SCOPE-004
modify	docs/artifacts/orchestration-plan.md	orchestration-owner	orchestration	FRB-SCOPE-003
add	docs/artifacts/product-experience-design-contract.md	experience-owner	architecture	FRB-SCOPE-005
add	docs/artifacts/prototype-disposition.md	architecture-owner	architecture	FRB-SCOPE-005
add	docs/artifacts/requirements-rebaseline-approval-001.md	foundation-integrator	requirements	FRB-SCOPE-004
add	docs/artifacts/requirements-rebaseline-approval-002.md	foundation-integrator	requirements	FRB-SCOPE-004
add	docs/artifacts/requirements-rebaseline-candidate-001.sha256	requirements-owner	requirements	FRB-SCOPE-004
add	docs/artifacts/requirements-rebaseline-candidate-002.sha256	requirements-owner	requirements	FRB-SCOPE-004
modify	docs/artifacts/requirements.md	requirements-owner	requirements	FRB-SCOPE-003
add	docs/artifacts/support-qualification-matrix.md	qualification-owner	technology	FRB-SCOPE-005
add	docs/artifacts/technology-proof-spikes.md	technology-owner	technology	FRB-SCOPE-005
add	docs/artifacts/technology-research-ledger.md	technology-owner	technology	FRB-SCOPE-005
add	docs/artifacts/technology-selection-rebaseline-approval-001.md	foundation-integrator	technology	FRB-SCOPE-004
add	docs/artifacts/technology-selection-rebaseline-approval-002.md	foundation-integrator	technology	FRB-SCOPE-004
add	docs/artifacts/technology-selection-rebaseline-candidate-001.sha256	technology-owner	technology	FRB-SCOPE-004
add	docs/artifacts/technology-selection-rebaseline-candidate-002.sha256	technology-owner	technology	FRB-SCOPE-004
modify	docs/artifacts/technology-selection.md	technology-owner	technology	FRB-SCOPE-003
modify	harness/control-ownership.tsv	harness-integrator	admission	FRB-SCOPE-001
add	harness/foundation-prototype-dispositions.tsv	architecture-owner	architecture	FRB-SCOPE-005
add	harness/foundation-rebaseline-base.sha256	harness-integrator	admission	FRB-SCOPE-001
add	harness/foundation-rebaseline-gates.tsv	harness-integrator	admission	FRB-SCOPE-001
add	harness/foundation-rebaseline-paths.tsv	harness-integrator	admission	FRB-SCOPE-001
add	harness/foundation-rebaseline-predecessors.sha256	harness-integrator	admission	FRB-SCOPE-001
add	harness/foundation-support-matrix.tsv	qualification-owner	technology	FRB-SCOPE-005
modify	harness/phases.tsv	harness-integrator	admission	FRB-SCOPE-001
add	internal/harness/buildcontrol/foundation.go	harness-integrator	admission	FRB-SCOPE-001
add	internal/harness/buildcontrol/foundation_test.go	harness-integrator	admission	FRB-SCOPE-001
modify	internal/harness/buildcontrol/main.go	harness-integrator	admission	FRB-SCOPE-001
modify	internal/harness/buildcontrol/ownership.go	harness-integrator	admission	FRB-SCOPE-001
modify	internal/harness/buildcontrol/ownership_test.go	harness-integrator	admission	FRB-SCOPE-001
modify	internal/harness/buildcontrol/policy.go	harness-integrator	admission	FRB-SCOPE-001
modify	internal/harness/buildcontrol/policy_test.go	harness-integrator	admission	FRB-SCOPE-001
