record_version	id	surface	current_state	v1_ceiling	claim_state	owner
wave-01-v1	codex-advisory	Codex-advisory-package	prototype	A0	withheld	L7-BL-012
wave-01-v1	claude-advisory	Claude-advisory-package	prototype	A0	withheld	L7-BL-013
wave-01-v1	controlled-client	separately-installed-Level-7-Controlled-Client	planned	A0-A2-gated	withheld	L7-BL-005
wave-01-v1	proof-generic	generic-change-profile	planned	A0-A2-gated	withheld	L7-BL-009
wave-01-v1	proof-feature	feature-behavior-change-profile	planned	A0-A2-gated	withheld	L7-BL-009
wave-01-v1	proof-refactor	behavior-preserving-refactor-profile	planned	A0-A2-gated	withheld	L7-BL-009
wave-01-v1	a3-a4-handoff	Package-Deploy-Expose-handoff	planned	plan-handoff-only	withheld	L7-BL-011
wave-01-v1	a5-autonomy	background-self-modifying-remediation	absent	none	excluded	L7-BL-035
wave-01-v1	dual-host-support	Codex-and-Claude-support	unproved	none	withheld	L7-BL-014
wave-01-v1	stable-version-1.0	stable-1.0-release	unproved	none	withheld	L7-BL-042
wave-01-v1	workspace-boundary	one-local-repository-worktree	development-only	one-worktree	required	L7-BL-001
wave-01-v1	plugin-authority	plugin-installation	insufficient	no-mutation-authority	withheld	L7-BL-005
wave-01-v1	development-evidence	same-user-local-development-evidence	available	non-promoting	unqualified	L7-BL-010
wave-01-v1	release-blocking-proof	release-blocking-proof	absent	required-before-release	withheld	L7-BL-042
wave-01-v1	enforcement-claim	policy-enforcement	absent	none	withheld	L7-BL-005
wave-01-v1	priority-p0	P0-v1.0-scope	approved	release-blocking	source-bound	L7-BL-001
wave-01-v1	priority-p1	P1-v1.x-scope	approved	post-v1.0	source-bound	L7-BL-001
wave-01-v1	priority-p2	P2-later-scope	approved	no-commitment	source-bound	L7-BL-001
wave-01-v1	priority-change-control	scope-priority-change	approval-required	impact-diff+accountable-approval	source-bound	L7-BL-001
wave-05-v1	codex-development-package	Codex-CLI-plugin-layout	offline-package-qualified	A0-development-only	withheld	L7-BL-012
wave-05-v1	claude-development-package	Claude-Code-plugin-layout	offline-package-qualified	A0-development-only	withheld	L7-BL-013
wave-05-v1	distribution-lifecycle	filesystem-lifecycle-fixtures	offline-package-qualified	no-real-host-effect	unqualified	L7-BL-014
wave-05-v1	package-authenticity	signing-channel-revocation	absent	none	withheld	L7-BL-014
wave-05-v1	actual-host-lifecycle	Codex-and-Claude-install-matrix	NOT_RUN	none	withheld	L7-BL-014
