control	path_kind	path	writer	reviewer	change_gate
ci-workflow	exact	.github/workflows/harness.yml	harness-integrator	independent-readonly	owner+scope-audit
makefile	exact	Makefile	harness-integrator	independent-readonly	owner+scope-audit
readme	exact	README.md	wave-integrator	owner-review	owner+design
module	exact	go.mod	harness-integrator	independent-readonly	owner+module-decision
wave-approval	exact	docs/artifacts/wave-01-approval.md	wave-integrator	owner-review	owner+design
wave-audit	exact	docs/artifacts/wave-01-audit.md	independent-reviewer	owner-review	separate-audit
wave-audit-remediation	exact	docs/artifacts/wave-01-audit-remediation.md	wave-integrator	independent-readonly	fresh-independent-audit
wave-candidate	exact	docs/artifacts/wave-01-candidate.sha256	wave-integrator	independent-readonly	owner+scope-audit
wave-contract	exact	docs/artifacts/wave-01-change-contract.md	wave-integrator	owner-review	owner+design
wave-design	exact	docs/artifacts/wave-01-design.md	wave-integrator	owner-review	owner+design
wave-design-amendment	exact	docs/artifacts/wave-01-design-amendment.md	wave-integrator	owner-review	owner+design
wave-evidence	exact	docs/artifacts/wave-01-evidence.md	wave-integrator	independent-readonly	owner+scope-audit
wave-grant-amendment	exact	docs/artifacts/wave-01-grant-ladder-amendment.md	wave-integrator	independent-readonly	separate-security-decision
wave-module-decision	exact	docs/artifacts/wave-01-module-identity-decision.md	wave-integrator	owner-review	owner+module-decision
wave-specification	exact	docs/artifacts/wave-01-specification.md	wave-integrator	owner-review	owner+design
wave-02-approval	exact	docs/artifacts/wave-02-approval.md	wave-integrator	owner-review	owner+design
wave-02-audit	exact	docs/artifacts/wave-02-audit.md	independent-reviewer	owner-review	separate-audit
wave-02-candidate	exact	docs/artifacts/wave-02-candidate.sha256	wave-integrator	independent-readonly	owner+scope-audit
wave-02-contract	exact	docs/artifacts/wave-02-change-contract.md	wave-integrator	owner-review	owner+design
wave-02-design	exact	docs/artifacts/wave-02-design.md	wave-integrator	owner-review	owner+design
wave-02-evidence	exact	docs/artifacts/wave-02-evidence.md	wave-integrator	independent-readonly	owner+scope-audit
wave-02-specification	exact	docs/artifacts/wave-02-specification.md	wave-integrator	owner-review	owner+design
requirements-source	exact	docs/artifacts/requirements.md	requirements-owner	owner-review	owner+requirements-decision
release-allocation	exact	docs/artifacts/feature-backlog.md	backlog-owner	owner-review	owner+impact-decision
harness-data	prefix	harness/	harness-integrator	independent-readonly	owner+scope-audit
harness-scripts	prefix	scripts/harness/	harness-integrator	independent-readonly	owner+scope-audit
harness-code	prefix	internal/harness/buildcontrol/	harness-integrator	independent-readonly	owner+scope-audit
prototype-skills	prefix	skills/	protected-prototype-owner	wave-07-owner	wave-07-cutover
codex-manifest	prefix	.codex-plugin/	protected-prototype-owner	wave-10-owner	wave-10-cutover
claude-manifest	prefix	.claude-plugin/	protected-prototype-owner	wave-10-owner	wave-10-cutover
root-plugin	exact	plugin.json	protected-prototype-owner	wave-10-owner	wave-10-cutover
marketplace	exact	marketplace.json	protected-prototype-owner	wave-10-owner	wave-10-cutover
workflow-reference	exact	references/WORKFLOW.md	protected-prototype-owner	wave-07-owner	wave-07-cutover
semantic-source	prefix	semantic/	semantic-owner	independent-readonly	owner+wave-02-design
semantic-schema	prefix	schemas/semantic/	semantic-owner	independent-readonly	owner+wave-02-design
evaluation-schema	prefix	schemas/evaluation/	evaluator-owner	independent-readonly	separate-evaluator-freeze
artifact-schema	prefix	schemas/artifact/	state-owner	independent-readonly	future-wave
semantic-render	prefix	internal/render/	semantic-owner	independent-readonly	owner+wave-02-design
safety-policy	prefix	internal/policy/	safety-owner	independent-readonly	future-wave
context-safety	prefix	internal/context/	context-owner	independent-readonly	future-wave
transaction-plane	prefix	internal/transaction/	effect-plane-owner	independent-readonly	future-wave
executor-plane	prefix	internal/executor/	effect-plane-owner	independent-readonly	future-wave
receipt-plane	prefix	internal/receipt/	effect-plane-owner	independent-readonly	future-wave
conductor-source	prefix	internal/conductor/	conductor-owner	independent-readonly	future-wave
codex-adapter	prefix	internal/adapter/codex/	codex-owner	independent-readonly	future-wave
claude-adapter	prefix	internal/adapter/claude/	claude-owner	independent-readonly	future-wave
semantic-fixtures	prefix	fixtures/public/bl-002/	semantic-owner	evaluator-owner	evaluator-integration
evaluator-fixtures	prefix	fixtures/public/bl-003/	evaluator-owner	independent-readonly	separate-evaluator-freeze
feature-fixtures	prefix	fixtures/public/features/	feature-owner	evaluator-owner	future-feature-integration
public-evaluator	prefix	internal/evaluator/	evaluator-owner	independent-readonly	separate-evaluator-freeze
generated-build	prefix	build/generated/	generator-owner	independent-readonly	future-wave
generated-packages	prefix	packages/	generator-owner	independent-readonly	wave-10-cutover
distribution-source	prefix	internal/distribution/	distribution-owner	independent-readonly	future-wave
updater	prefix	cmd/l7up/	updater-owner	independent-readonly	wave-10-cutover
protected-controls	prefix	protected/	external-denied	external-denied	external-governance
