skill	disposition	target_owner	cutover
l7-build	replace	L7-BL-007+L7-BL-008+L7-BL-009	wave-08
l7-change	replace	L7-BL-011	wave-09
l7-constitution	replace	L7-BL-002+L7-BL-007	wave-07
l7-deploy	exclude	L7-BL-011	wave-09
l7-experience	exclude	L7-BL-019	post-v1.0
l7-geometry	deprecate	L7-BL-019	post-v1.0
l7-greenfield	exclude	L7-BL-016	post-v1.0
l7-next	conform	L7-BL-007	wave-07
l7-ops	exclude	L7-BL-022	post-v1.0
l7-release	replace	L7-BL-010+L7-BL-042	wave-13
l7-review	replace	L7-BL-010	wave-09
l7-storybook	exclude	L7-BL-029	post-v1.0
